"public_event_company_name","public_event_city","public_event_state","public_event_country","public_event_description","public_event_website","public_event_linkedin","public_events_page_url"
"Crossing Minds","San Francisco","CA","United States","","","","https://nrfbigshow.nrf.com/company/crossing-minds"
"SPINS","Chicago","IL","United States","SPINS Product Intelligence acts as a source of truth dataset that documents each and every product on the market across every possible dimension that a consumer would use to search and evaluate products for purchase. This includes core/foundational on-package data such as nutrition, ingredients, allergens, as well as algorithmically computed attributes based on that data as well. SPINS's unique onboarding process and proprietary technology make it one of the fastest, easiest ways to onboard product data at scale, ensuring it's ready for activation in a matter of days, not weeks and months.","https://www.spins.com","","https://nrfbigshow.nrf.com/company/spins"
"Pointr","Boston","MA","United States","Pointr, The Deep Location® Company Digital maps are imperative in retail as they are proven to increase retail app engagement levels  significantly. However, while 78% of the top 50 US retailers have ‘Store Mode’ in their app, only  19% have already activated in-store maps. Retailers lag behind as they struggle to create digital  maps for thousands of stores and to keep these maps up-to-date. Bring indoor maps and geolocation technology to your stores with Pointr. With our  revolutionary AI Mapping technology, retailers can digitize all their stores instantly to enable  in-store product wayfinding, geofencing, and powerful location analytics.   Our technology is highly scalable and high-performance. We have already digitized more than 4  billion sqft for 12 Fortune 100 companies, across 27 countries, in 5,000+ buildings. We are  trusted by key players such as Microsoft, Cisco, CBRE, America’s Department Store, the U.S.  Department of Homeland Security, and more.   Visit our booth to see Pointr’s mapping and geolocation technology in action, and let’s start the  conversation!","http://www.pointr.tech","https://www.linkedin.com/company/pointr-tech-indoor-location-data-analytics-platform/","https://nrfbigshow.nrf.com/company/pointr"
"Keysight","Colorado Springs","CO","United States","Keysight Eggplant accelerates your software test cycle with automation and insights that reduce risk and speed time to market, whether you're looking to test point-of-sale, mobile applications, or eCommerce websites.","","https://www.linkedin.com/showcase/keysight-test-automation","https://nrfbigshow.nrf.com/company/keysight"
"Arianee","Paris","Ile De France","France","Arianee is the leading NFT platform for luxury & fashion brands. The Arianee solution allows brands to create, distribute and interact with their clients through NFTs.","https://www.arianee.org/","https://www.linkedin.com/company/arianee/mycompany/","https://nrfbigshow.nrf.com/company/arianee"
"Squad Experience Ltd","Raanana","","Israel","","","","https://nrfbigshow.nrf.com/company/squad-experience-ltd"
"Alloy Automation","New York","NY","United States","Today there are thousands of apps in the ecommerce world, most of which don't connect or integrate fully with each other. Even when app teams do build integrations, they're leveraging resources that could be dedicated towards core platform development. Integrations are tablestakes nowadays, but they're still tedious to build and maintain. At Alloy, we're building the missing connectivity layer for ecommerce. We integrate with hundreds of apps - ranging from Shopify to Netsuite - so you don't have to. We have two core products: Embedded & Automation. Software companies can leverage Alloy Embedded to build out an entire integration ecosystem. Their customers, the brands, can then benefit from native integrations in their existing tool stack. Once a brand has outgrown those integrations, they can upgrade to Alloy Automation to create more full-fledged automations of their own. Alloy is a Series A startup backed by $27M from a16z, Y Combinator, Bain Capital, & the founders of Webflow, Attentive, Shopify, & more.","http://www.runalloy.com","https://www.linkedin.com/company/alloy-automation","https://nrfbigshow.nrf.com/company/alloy-automation"
"GoShare","San Diego","CA","United States","","http://www.goshare.co","","https://nrfbigshow.nrf.com/company/goshare"
"SocialQ","Malvern","VIC","Australia","SocialQ is transforming the retail experience.        Launched in 2020, SocialQ is a customer experience tool that improves customer NPS, reduces labor costs and increases incremental revenue.       BOPIS is a surging part of ecommerce and SocialQ allows retailers to streamline the collection process, reduce handling and wait times, and drive customer NPS.       Virtual Queuing can slash customer traffic, reducing perceived wait times, removing physical lines, and increasing incremental revenue.       Click-and-Deliver integrates with couriers to provide order-to-door delivery in under an hour. It involves no commissions, and keeps the transaction entirely on the retailer’s website.  Store performance analytics provide insight to wait times, peak periods, and customer and team trends. This allows retailers to optimize stores to improve CX, and reduce costs. The no-code integration means that SocialQ can be implemented in days, not months. The platform is built to require little-to-no infrastructure change.","https://socialq.net","https://www.linkedin.com/company/getsocialq","https://nrfbigshow.nrf.com/company/socialq"
"FUJI Innovation Lab","Cupertino","CA","United States","","https://www.fujiinnovation.com/rally","","https://nrfbigshow.nrf.com/company/fuji-innovation-lab"
