"sponser_name","sponser_level","sponser_city","sponser_state","sponser_country","sponser_description","sponser_website","sponser_linkedin","sponser_page_url"
"Amazon Web Services, Inc","Chairman's Circle Sponsor","Seattle","WA","United States","For over 15 years, Amazon Web Services has been the world’s most comprehensive and broadly adopted cloud offering. AWS has been continually expanding its services to support virtually any cloud workload, and it now has more than 200 fully featured services for compute, storage, databases, networking, analytics, machine learning and artificial intelligence (AI), Internet of Things (IoT), mobile, security, hybrid, virtual and augmented reality (VR and AR), media, and application development, deployment, and management from 84 Availability Zones within 26 geographic regions, with announced plans for 24 more Availability Zones and eight more AWS Regions in Australia, Canada, India, Israel, New Zealand, Spain, Switzerland, and the United Arab Emirates. Millions of customers—including the fastest-growing startups, largest enterprises, and leading government agencies—trust AWS to power their infrastructure, become more agile, and lower costs. To learn more about AWS, visit aws.amazon.com.","https://aws.amazon.com/","https://www.linkedin.com/showcase/buywithprime/?trk=affiliated-pages","https://nrfbigshow.nrf.com/company/amazon-web-services-inc"
"American Express Company","Chairman's Circle Sponsor","New York","NY","United States","","http://www.americanexpress.com","","https://nrfbigshow.nrf.com/company/american-express-company"
"Aptos, LLC","Chairman's Circle Sponsor","Alpharetta","GA","United States","Aptos: The Leader in Unified Commerce  Aptos Unified Commerce solutions connect products to customers to unify both the customer experience and the enterprise. With hundreds of retailers live on our technology in more than 100,000 stores around the world, we know better than anyone how to empower the modern store as part of a unified omnichannel brand experience. Our unparalleled industry experience, earned over 40 years delivering technology to retail, informs and enriches our unique combination of CRM, Merchandising, Sales Audit, Order Management and Store Experience solutions.  Visit us at NRF booth #4639 to see the value of our comprehensive unified commerce solutions brought to life through numerous real-world shopping experiences, including: -Empowering the modern store with cloud-based, mobile and integrated POS experiences -Real-time inventory visibility across the extended retail enterprise -Acquiring (and activating) new customers across channels, locations, segments and brands -Integrated order management, including sourcing, routing and a full array of store fulfillment options","https://aptos.com","https://www.linkedin.com/company/aptos-retail/","https://nrfbigshow.nrf.com/company/aptos-llc"
"Microsoft Corporation","Chairman's Circle Sponsor","Redmond","WA","United States","Microsoft (Nasdaq “MSFT” @microsoft) is the leading platform and productivity company for the mobile-first, cloud-first world, and its mission is to empower every person and every organization on the planet to achieve more. Lean in to change and thrive during times of uncertainty with Microsoft Cloud for Retail. Anticipate the unexpected – from shifting market conditions to changing shopper expectations – and act with the power of all your data, at your fingertips. Deliver meaningful shopping experiences, in any channel, that speak to customers as individuals and delight at scale. Outmaneuver disruption with a sustainable supply chain that optimizes order management and reduces operating costs. And empower every employee to provide exceptional service that turns repeat customers into loyal fans. Become a resilient retailer – agile, innovative, and responsive – and achieve more with proven, end-to-end retail solutions only from Microsoft Cloud for Retail.","http://www.microsoft.com/retail","https://nam06.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.linkedin.com%2Fshowcase%2Fmicrosoft-cloud-platform&amp;data=04%7C01%7Cv-mapric%40microsoft.com%7Cd2f0ef68f91046af29a008d984750e1b%7C72f988bf86f141af91ab2d7cd011db47%7C1%7C0%7C637686460546647095%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C1000&amp;sdata=OnLgnib%2FpGvouZqz6iZZheXBf76aZqK5xwNQwUxRJk4%3D&amp;reserved=0","https://nrfbigshow.nrf.com/company/microsoft-corporation"
"NCR Corporation","Chairman's Circle Sponsor","Atlanta","GA","United States","NCR is a leading software- and services-led enterprise provider that makes it easy for retailer to meet their customers wherever they are. Leading with digital, we connect the entire store, giving shoppers what they want: faster checkout. Options. Consistency.  With NCR technology retailers can create an easy, intuitive experience that makes their shoppers want to come back, while making their retail operations run smoother than ever.  Our hardware, software and services do more than just help retails rung their entire operation from back office to the front end. We connect every customer touchpoint into a single, amazing experience that makes shopping effortless for your customers while making business easier, faster and more profitable—from POS to payments to loyalty programs. For more information visit www.ncr.com/retail.","https://www.ncr.com","","https://nrfbigshow.nrf.com/company/ncr-corporation"
"SAP","Chairman's Circle Sponsor","Newtown Square","PA","United States","SAP provides an integrated suite of applications, intelligent technologies, and a real-time retail platform for retailers to drive efficiency and deliver amazing personalized customer experiences anywhere, anytime.  SAP retail solutions help digitally native startups to global retail brands manage all aspects of the retail business with the comprehensive solutions you need to exceed customer expectations with relevant products, information, and engagement when and where they choose to shop.  Learn how SAP can help you be amazing every time at http://www.sap.com/retail","http://www.sap.com/retail","https://www.linkedin.com/showcase/sap-retail/","https://nrfbigshow.nrf.com/company/sap"
"Shopify Inc.","Chairman's Circle Sponsor","Ottawa","ON","Canada","","","","https://nrfbigshow.nrf.com/company/shopify-inc"
"Zebra Technologies","Chairman's Circle Sponsor","Holtsville","NY","United States","For over 50 years, Zebra has been developing unparalleled data-driven retail solutions that provide the digital edge required to thrive in today’s omnichannel landscape. These solutions provide greater visibility by connecting people, assets and data. Zebra helps retailers advance their digital transformation by building smarter operations, optimizing inventory and enhancing the customer experience with innovative solutions such as:  Engaged Associates:   Communication & Collaboration Supply Chain Labor Efficiency Task Management Workforce Management   Optimized Inventory:   Forecasting & Pricing Inventory Management & Accuracy Loss Prevention & Asset Protection Returns Management RFID   Elevated Customer Experience:   Assisted Selling & Frictionless Checkout Personalized Shopping Returns Management  Zebra’s portfolio of retail solutions can provide visibility into every corner of retail operations and generate insights that drive performance and improve customer satisfaction. For more information, visit our website www.zebra.com/retail","http://www.zebra.com","https://www.linkedin.com/company/zebra-technologies/","https://nrfbigshow.nrf.com/company/zebra-technologies"
"Blue Yonder, Inc.","Platinum Level Sponsor","Scottsdale","AZ","United States","Blue Yonder is the world leader in digital supply chain transformations and omni-channel commerce fulfillment. Our end-to-end, cognitive business platform enables retailers, manufacturers and logistics providers to best fulfill customer demand from planning through delivery. With Blue Yonder, you’ll unify your data, supply chain and retail commerce operations to unlock new business opportunities and drive automation, control and orchestration to enable more profitable, sustainable business decisions. Blue Yonder - Fulfill your Potential™  blueyonder.com","https://blueyonder.com/","https://www.linkedin.com/company/blueyonder/","https://nrfbigshow.nrf.com/company/blue-yonder-inc"
"Comcast Business","Platinum Level Sponsor","Philadelphia","PA","United States","Comcast Business powers businesses with innovative technology and a team of dedicated professionals with industry leading expertise. Comcast Business offers a suite of Connectivity, Communications, Cybersecurity, Wireless, and Managed Solutions to help organizations of all sizes prepare for what’s next. Powered by the nation’s largest Gig-speed broadband network, and backed by 24/7 customer support, Comcast Business is a leading connectivity provider for small and mid-size businesses and a rising leader in the Enterprise market. Comcast Business has been recognized by industry analysts and associations as a leader and innovator, including an American Business Gold Award for Most Innovative Company in 2021.  For more information, call 866-429-3085. Follow on Twitter @ComcastBusiness and on other social media networks at http://business.comcast.com/social.","http://www.business.comcast.com","https://www.linkedin.com/company/comcast-business","https://nrfbigshow.nrf.com/company/comcast-business"
